# Discriminator Loss, Generator Loss
6.674792766571044922e-01,1.482197856903076172e+01
7.232289314270019531e-01,1.359335136413574219e+01
7.489698529243469238e-01,1.305137634277343750e+01
7.337949872016906738e-01,1.458082199096679688e+01
8.513691425323486328e-01,1.307924842834472656e+01
7.839112281799316406e-01,1.342533874511718750e+01
8.188186287879943848e-01,1.325575256347656250e+01
7.791079282760620117e-01,1.575160121917724609e+01
8.705681562423706055e-01,1.240012836456298828e+01
1.021064519882202148e+00,1.345319938659667969e+01
1.191213130950927734e+00,1.276668930053710938e+01
1.378746032714843750e+00,1.133231258392333984e+01
1.464547514915466309e+00,1.284974288940429688e+01
1.304967522621154785e+00,1.320614051818847656e+01
1.183578252792358398e+00,1.327323627471923828e+01
1.157085418701171875e+00,1.365795898437500000e+01
1.123726606369018555e+00,1.356374168395996094e+01
1.128878712654113770e+00,1.299307537078857422e+01
1.188868045806884766e+00,1.341563796997070312e+01
1.266527652740478516e+00,1.332791519165039062e+01
1.284902453422546387e+00,1.292571449279785156e+01
1.236895322799682617e+00,1.252043437957763672e+01
1.147437095642089844e+00,1.285305786132812500e+01
1.096739053726196289e+00,1.335377502441406250e+01
1.095834970474243164e+00,1.240865325927734375e+01
9.488406181335449219e-01,1.386303234100341797e+01
8.642848730087280273e-01,1.306089496612548828e+01
7.086541652679443359e-01,1.349168968200683594e+01
5.958448052406311035e-01,1.413535308837890625e+01
6.089751720428466797e-01,1.346100807189941406e+01
6.161181330680847168e-01,1.412420368194580078e+01
6.002256870269775391e-01,1.408213615417480469e+01
6.368023157119750977e-01,1.386860942840576172e+01
7.158622145652770996e-01,1.357010078430175781e+01
7.383701801300048828e-01,1.383269500732421875e+01
8.107425570487976074e-01,1.257332801818847656e+01
1.028510928153991699e+00,1.288140487670898438e+01
1.166755676269531250e+00,1.305074310302734375e+01
1.170047521591186523e+00,1.525538063049316406e+01
1.100986480712890625e+00,1.304217529296875000e+01
8.873709440231323242e-01,1.307724475860595703e+01
7.008612751960754395e-01,1.507285976409912109e+01
8.326036334037780762e-01,1.476171588897705078e+01
1.106901288032531738e+00,1.177160835266113281e+01
1.383379697799682617e+00,1.145486068725585938e+01
1.716916322708129883e+00,1.087705421447753906e+01
1.585616588592529297e+00,1.036200332641601562e+01
1.430768370628356934e+00,1.220695114135742188e+01
1.350973486900329590e+00,1.156039905548095703e+01
1.422070264816284180e+00,1.120588684082031250e+01
1.587353706359863281e+00,1.171200752258300781e+01
1.689573764801025391e+00,1.116125297546386719e+01
1.780707120895385742e+00,1.115257453918457031e+01
1.914321422576904297e+00,1.063588714599609375e+01
1.759103655815124512e+00,1.084965610504150391e+01
1.519134163856506348e+00,1.090476512908935547e+01
1.349742889404296875e+00,1.265598869323730469e+01
1.274798274040222168e+00,1.088699913024902344e+01
1.156074166297912598e+00,1.326490974426269531e+01
1.146228551864624023e+00,1.144374084472656250e+01
1.130102157592773438e+00,1.265551567077636719e+01
1.106014728546142578e+00,1.183028507232666016e+01
1.046074628829956055e+00,1.267106628417968750e+01
1.073212265968322754e+00,1.114391517639160156e+01
1.121340870857238770e+00,1.279619407653808594e+01
1.157429337501525879e+00,1.107378482818603516e+01
1.125313997268676758e+00,1.203465747833251953e+01
1.228724122047424316e+00,1.338756847381591797e+01
1.323895215988159180e+00,1.225761413574218750e+01
1.125888466835021973e+00,1.281500053405761719e+01
1.281335830688476562e+00,1.254523277282714844e+01
